Unnamed: 0,class,identifier,location,location_type,lookup_type,sha1,stimulus_set_identifier
30.0,StimulusSet,movshon.FreemanZiemba2013.aperture,https://brainio.contrib.s3.amazonaws.com/image_movshon_FreemanZiemba2013_aperture.csv,S3,stimulus_set,4205eca54974da46accba7812fce25c1b6df58e0,
31.0,,movshon.FreemanZiemba2013.aperture,https://brainio.contrib.s3.amazonaws.com/image_movshon_FreemanZiemba2013_aperture.zip,S3,stimulus_set,ab07880a0770bd73f68bcd5fd34e6cd945ee17fc,
32.0,StimulusSet,dicarlo.Rajalingham2020orthographic_IT,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_Rajalingham2020orthographic_IT.csv,S3,stimulus_set,3ac9ab73b653ac9cf839f9bfde131354a3766ccd,
33.0,,dicarlo.Rajalingham2020orthographic_IT,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_Rajalingham2020orthographic_IT.zip,S3,stimulus_set,0e025f6f8b06e803a6d8d1a17bd25a41af3e81db,
34.0,NeuronRecordingAssembly,dicarlo.MajajHong2015,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_MajajHong2015.nc,S3,assembly,bf8f8d01010d727e3db3f85a9bd5f95f9456b7ec,dicarlo.hvm
35.0,NeuronRecordingAssembly,gallant.David2004,https://brainio.contrib.s3.amazonaws.com/assy_gallant_David2004.nc,S3,assembly,d2ed9834c054da2333f5d894285c9841a1f27313,gallant.David2004
36.0,NeuronRecordingAssembly,dicarlo.MajajHong2015.temporal,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_MajajHong2015_temporal.nc,S3,assembly,4c5cfe25ad53162c5c716d64004de269162eff38,dicarlo.hvm
37.0,NeuronRecordingAssembly,tolias.Cadena2017,https://brainio.contrib.s3.amazonaws.com/assy_tolias_Cadena2017.nc,S3,assembly,69bcaaa9370dceb0027beaa06235ef418c3d7063,tolias.Cadena2017
38.0,NeuronRecordingAssembly,movshon.FreemanZiemba2013.noaperture,https://brainio.contrib.s3.amazonaws.com/assy_movshon_FreemanZiemba2013_noaperture.nc,S3,assembly,6176fd435ab840d284c2c426742c8211622739b5,movshon.FreemanZiemba2013
39.0,BehavioralAssembly,dicarlo.Rajalingham2018.public,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_Rajalingham2018_public.nc,S3,assembly,34c6a8b6f7c523589c1861e4123232e5f7c7df4c,dicarlo.objectome.public
40.0,BehavioralAssembly,dicarlo.Rajalingham2018.private,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_Rajalingham2018_private.nc,S3,assembly,516f13793d1c5b72bb445bb4008448ce97a02d23,dicarlo.objectome.private
41.0,DataAssembly,dicarlo.Kar2019,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_Kar2019.nc,S3,assembly,147717ce397e11d56164d472063a84a83bbcbb94,dicarlo.Kar2019
42.0,NeuronRecordingAssembly,dicarlo.MajajHong2015.temporal-10ms,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_MajajHong2015_temporal-10ms.nc,S3,assembly,3a43db05db722b456d156f53b7215413c994e5b5,dicarlo.hvm
43.0,NeuronRecordingAssembly,dicarlo.Kar2018hvm,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_Kar2018hvm.nc,S3,assembly,96ccacc76c5fa30ee68bdc8736d1d43ace93f3e7,dicarlo.hvm
44.0,NeuronRecordingAssembly,dicarlo.Kar2018cocogray,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_Kar2018cocogray.nc,S3,assembly,4202cb3992a5d71f71a7ca9e28ba3f8b27937b43,dicarlo.Kar2018cocogray
45.0,NeuronRecordingAssembly,dicarlo.MajajHong2015.public,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_MajajHong2015_public.nc,S3,assembly,13d28ca0ce88ee550b54db3004374ae19096e9b9,dicarlo.hvm-public
46.0,NeuronRecordingAssembly,dicarlo.MajajHong2015.private,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_MajajHong2015_private.nc,S3,assembly,7a40d16148d6f82939155f0bd976d310857fb156,dicarlo.hvm-private
47.0,NeuronRecordingAssembly,dicarlo.MajajHong2015.temporal.public,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_MajajHong2015_temporal_public.nc,S3,assembly,093ac35b3e8464c676d24cf38238415d4d6a9448,dicarlo.hvm-public
48.0,NeuronRecordingAssembly,dicarlo.MajajHong2015.temporal.private,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_MajajHong2015_temporal_private.nc,S3,assembly,804ea9e7c08ae9ab7a7d705c9c7e68582750e2ea,dicarlo.hvm-private
49.0,NeuronRecordingAssembly,movshon.FreemanZiemba2013.noaperture.public,https://brainio.contrib.s3.amazonaws.com/assy_movshon_FreemanZiemba2013_noaperture_public.nc,S3,assembly,68dd9e1da7207dc2ae17dbbb1adf628e922d15fa,movshon.FreemanZiemba2013-public
50.0,NeuronRecordingAssembly,movshon.FreemanZiemba2013.noaperture.private,https://brainio.contrib.s3.amazonaws.com/assy_movshon_FreemanZiemba2013_noaperture_private.nc,S3,assembly,9ffa772ce61754f6f5b7b391436680ebc25bb8dd,movshon.FreemanZiemba2013-private
51.0,BehavioralAssembly,klab.Zhang2018search_obj_array,https://brainio.contrib.s3.amazonaws.com/assy_klab_Zhang2018search_obj_array.nc,S3,assembly,84400dc814b79df8d8eca99a557df5f741cce4b9,klab.Zhang2018.search_obj_array
52.0,NeuronRecordingAssembly,movshon.FreemanZiemba2013.public,https://brainio.contrib.s3.amazonaws.com/assy_movshon_FreemanZiemba2013_public.nc,S3,assembly,761c08f796db4e342555cdb60eef23a4f19ead43,movshon.FreemanZiemba2013.aperture-public
53.0,NeuronRecordingAssembly,movshon.FreemanZiemba2013.private,https://brainio.contrib.s3.amazonaws.com/assy_movshon_FreemanZiemba2013_private.nc,S3,assembly,63f636fa2e2b51b47a676768a69b06ce95efdd8f,movshon.FreemanZiemba2013.aperture-private
54.0,NeuronRecordingAssembly,movshon.FreemanZiemba2013,https://brainio.contrib.s3.amazonaws.com/assy_movshon_FreemanZiemba2013.nc,S3,assembly,f03f1630f0ab1e2dbd51816b47fbf2916876134e,movshon.FreemanZiemba2013.aperture
55.0,StimulusSet,aru.Kuzovkin2018,https://brainio.contrib.s3.amazonaws.com/image_aru_Kuzovkin2018.csv,S3,stimulus_set,6923dbe74b78a104ab2c1b158c147b93110e8295,
56.0,,aru.Kuzovkin2018,https://brainio.contrib.s3.amazonaws.com/image_aru_Kuzovkin2018.zip,S3,stimulus_set,f918fc1e5092ef05e711f4f96083193bfc9264e8,
57.0,NeuronRecordingAssembly,aru.Kuzovkin2018,https://brainio.contrib.s3.amazonaws.com/assy_aru_Kuzovkin2018.nc,S3,assembly,a1ad7aa05271916a991ed1fab85130beeaba225e,aru.Kuzovkin2018
58.0,StimulusSet,dicarlo.Rust2012,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_Rust2012.csv,S3,stimulus_set,482da1f9f4a0ab5433c3b7b57073ad30e45c2bf1,
59.0,,dicarlo.Rust2012,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_Rust2012.zip,S3,stimulus_set,7cbf5dcec235f7705eaad1cfae202eda77e261a2,
60.0,NeuronRecordingAssembly,dicarlo.SanghaviMurty2020,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_SanghaviMurty2020.nc,S3,assembly,6cb8e054688066d1d86d4944e1385efc6a69ebd4,dicarlo.Rust2012
61.0,StimulusSet,dicarlo.BOLD5000,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_BOLD5000.csv,S3,stimulus_set,51ac47ea03ed2e72864a95065494c2fabe779f6e,
62.0,,dicarlo.BOLD5000,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_BOLD5000.zip,S3,stimulus_set,1a2e6d782dcd21bbe60460d85d83b13fa76a9543,
63.0,NeuronRecordingAssembly,dicarlo.SanghaviJozwik2020,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_SanghaviJozwik2020.nc,S3,assembly,c5841f1e7d2cf0544a6ee010e56e4e2eb0994ee0,dicarlo.BOLD5000
64.0,NeuronRecordingAssembly,dicarlo.Sanghavi2020,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_Sanghavi2020.nc,S3,assembly,12e94e9dcda797c851021dfe818b64615c785866,dicarlo.hvm
65.0,StimulusSet,dicarlo.THINGS1,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_THINGS1.csv,S3,stimulus_set,e02469d805e1b9c1a18403e9b0b8a37ee6da5130,
66.0,,dicarlo.THINGS1,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_THINGS1.zip,S3,stimulus_set,fb716eb58c303157dd577a70caad5c8079e74e9b,
67.0,NeuronRecordingAssembly,dicarlo.SanghaviMurty2020THINGS1,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_SanghaviMurty2020THINGS1.nc,S3,assembly,718def227d38c8425f449512e47a2df81c04de62,dicarlo.THINGS1
68.0,StimulusSet,dicarlo.THINGS2,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_THINGS2.csv,S3,stimulus_set,86c8beda8f495cd69ed047d3457902dd98e4904c,
69.0,,dicarlo.THINGS2,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_THINGS2.zip,S3,stimulus_set,e7918dd10102b67464bc652fdb3ced25ee1fbe7a,
70.0,NeuronRecordingAssembly,dicarlo.SanghaviMurty2020THINGS2,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_SanghaviMurty2020THINGS2.nc,S3,assembly,80962139823cb145e2385c344e3945e99ed97fa2,dicarlo.THINGS2
71.0,StimulusSet,dietterich.Hendrycks2019.gaussian_noise_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_gaussian_noise_1.csv,S3,stimulus_set,9c5b563277144d94301c3b588e9c254fd91e8a77,
72.0,,dietterich.Hendrycks2019.gaussian_noise_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_gaussian_noise_1.zip,S3,stimulus_set,413bca897ed5a9695f08ca71c820263f696c1231,
73.0,StimulusSet,dietterich.Hendrycks2019.shot_noise_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_shot_noise_1.csv,S3,stimulus_set,f29314e472f27bcec82b3cb94141efac650c9d99,
74.0,,dietterich.Hendrycks2019.shot_noise_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_shot_noise_1.zip,S3,stimulus_set,2dda2017187e0b584cb071bbc4ebdb6cd4a90226,
75.0,StimulusSet,dietterich.Hendrycks2019.impulse_noise_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_impulse_noise_1.csv,S3,stimulus_set,d9c65455e7afbaa2f4ac6505153a6933d8de9bf0,
76.0,,dietterich.Hendrycks2019.impulse_noise_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_impulse_noise_1.zip,S3,stimulus_set,e3a2bdf9550d90f74beaf22e1918f4ef9d4e2b24,
77.0,StimulusSet,dietterich.Hendrycks2019.defocus_blur_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_defocus_blur_1.csv,S3,stimulus_set,f88880cf342c91ccddf6ade315a92f9b25124bf7,
78.0,,dietterich.Hendrycks2019.defocus_blur_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_defocus_blur_1.zip,S3,stimulus_set,20ae65f7743b5203997f16fce37a5a1d9890a5bb,
79.0,StimulusSet,dietterich.Hendrycks2019.glass_blur_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_glass_blur_1.csv,S3,stimulus_set,28f418baaf0cc4b39b20adcdfc538d57f53ae53b,
80.0,,dietterich.Hendrycks2019.glass_blur_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_glass_blur_1.zip,S3,stimulus_set,dd00cb9942492a5e353afab2d6a6d72d588cecdd,
81.0,StimulusSet,dietterich.Hendrycks2019.motion_blur_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_motion_blur_1.csv,S3,stimulus_set,8367bbd664ac0db370d29117be72dae2708578d6,
82.0,,dietterich.Hendrycks2019.motion_blur_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_motion_blur_1.zip,S3,stimulus_set,e9a9044839683e4b7685a03884e55bf8700b9dab,
83.0,StimulusSet,dietterich.Hendrycks2019.zoom_blur_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_zoom_blur_1.csv,S3,stimulus_set,7ab6881bd10d0a79fc8af11c12197cc10dd962d0,
84.0,,dietterich.Hendrycks2019.zoom_blur_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_zoom_blur_1.zip,S3,stimulus_set,02f99fa1992611c67e5367e57f5752ad79c7508f,
85.0,StimulusSet,dietterich.Hendrycks2019.snow_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_snow_1.csv,S3,stimulus_set,f7bccbaa4856c39aafef8ec91bc162297c9e47d3,
86.0,,dietterich.Hendrycks2019.snow_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_snow_1.zip,S3,stimulus_set,bf129640b5ee23ee30e98200b8bfe1a7b9b36f25,
87.0,StimulusSet,dietterich.Hendrycks2019.frost_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_frost_1.csv,S3,stimulus_set,f7bccbaa4856c39aafef8ec91bc162297c9e47d3,
88.0,,dietterich.Hendrycks2019.frost_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_frost_1.zip,S3,stimulus_set,ccbe32e88e9a8a5ccf2333e9490ed1bd3e4a3850,
89.0,StimulusSet,dietterich.Hendrycks2019.fog_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_fog_1.csv,S3,stimulus_set,3ffb074b55acd8f1418f2c30558efc8940f88098,
90.0,,dietterich.Hendrycks2019.fog_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_fog_1.zip,S3,stimulus_set,ae673757539b9d462b77839e9a50914a2bd35550,
91.0,StimulusSet,dietterich.Hendrycks2019.brightness_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_brightness_1.csv,S3,stimulus_set,e2b5d5a68f36c39fb89d1a0c9297a731ed3a386a,
92.0,,dietterich.Hendrycks2019.brightness_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_brightness_1.zip,S3,stimulus_set,d51c8dad449c2449f3049d577d6060c885243d13,
93.0,StimulusSet,dietterich.Hendrycks2019.contrast_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_contrast_1.csv,S3,stimulus_set,b10b20b6c79561887db97e57de43cc8aff48a417,
94.0,,dietterich.Hendrycks2019.contrast_1,https://brainio-contrib.s3.amazonaws.com/image_dietterich_Hendrycks2019_contrast_1.zip,S3,stimulus_set,fde681c7828354784c84089670e2a971172ef0b6,
